MES,FECHA,CARRERA,LOCALIDAD,DISTANCIA,TERRENO,HOMOLOGADA,CONFIRMADA,GUÍA EN BLOG,WEB OFICIAL,URL GUÍA
Febrero,22/02,Cursa Malalties Minoritàries,Badalona,10k y 5k,Asfalto,No,Sí,Sí,https://cursa-benefica-malalties-minoritaries.webnode.es/,
Febrero,22/02,Volta Al Pantà D'Utxesa,Torres de Segre,"10k, 6,5k y Trail 13k",Mixta,No,Sí,No,https://xtsportevents.com/reglament-volta-al-panta-dutxesa/,
Febrero,22/02,Cursa Solidària Serinyà Mas Casadevall,Serinyà,"10k, 6k",Mixta,No,Sí,No,https://www.mascasadevall.net/22-de-febrer-x-cursa-solidaria-serinya-mas-casadevall/,
Febrero,22/02,Cursa la Bufona,Girona,5k,Mixta,No,Sí,No,https://fundacioarcadi.com/cursa-bufona/,
Marzo,01/03,Unirun,Barcelona,5k,Asfalto,No,Sí,Sí,https://unirun.cat/es/home-es/,
Marzo,01/03,Cursa Dona Cornellà,Cornellà de Llob.,5k,Asfalto,No,Sí,No,https://web.rockthesport.com/es/event/cursa-de-la-dona-de-cornella-2026,
Marzo,01/03,Mitja Cambrils,Cambrils,21k y 10k,Asfalto,No,Sí,Sí,https://mitjadecambrils.com/,
Marzo,01/03,Mitja Garrotxa,Olot,21k y 10k,Asfalto,Sí,Sí,Sí,https://www.cnolot.cat/,
Marzo,01/03,Cursa De L'Orelleta,Castellnou de Seana,10k y 5k,Asfalto,No,Sí,No,https://cursaorelleta.wixsite.com/cursaorelleta,
Marzo,07/03,Cursa Igualtat Bigues I Riells,Bigues i Riells,8k,Mixta,No,Sí,No,https://www.instagram.com/p/DU-XKuYiGla/,
Marzo,07/03,Cursa Les Vetes,Llagostera,"9,5k",Mixta,No,Sí,No,http://www.lesvetes.cat/ca/fundacio-les-vetes/projeccio-social/xii-cursa-popular-les-vetes,
Marzo,08/03,10.000 I 5.000 L'Ampolla,L'Ampolla,10k y 5k,Asfalto,No,Sí,No,https://www.runningseries.net/calendari/,
Marzo,08/03,Mitja Balaguer,Balaguer,"21k, 10k y 5k",Asfalto,Sí,Sí,No,https://www.runners.cat/mitja-marato-2026/,
Marzo,08/03,Corsa Dera Hemna,Vielha,5k,Asfalto,No,Sí,No,https://web.rockthesport.com/es/event/12au-corsa-dera-hemna,
Marzo,14/03,Cursa De Les Dones Santa Coloma,Santa Coloma de Gramenet,5k,Asfalto,No,Sí,No,https://www.conselharan.org/es/inscripciones-abiertas-para-la-12-a-edicion-de-la-corsa-dera-hemna/,
Marzo,14/03,Cursa De Les Dones Palautordera,Santa Maria de Palautordera,"4,5k",Asfalto,No,Sí,No,https://www.smpalautordera.cat/actualitat/agenda/7a-cursa-de-les-dones-de-palautordera.html,
Marzo,15/03,Marató Barcelona,Barcelona,42k,Asfalto,Sí,Sí,Sí,https://www.zurichmaratobarcelona.es/,
Marzo,15/03,Cursa De L'Arbre,El Prat de Llobregat,10k,Mixta,No,Sí,No,https://www.instagram.com/cursadelarbre/,
Marzo,15/03,Cursa De La Dona Canonja,La Canonja,5k,Asfalto,No,Sí,No,https://webtretzesports.wixsite.com/cursadonacanonja,
Marzo,15/03,Cursa De La Dona Lleida,Lleida,"5,6k",Asfalto,No,Sí,No,https://www.cursadeladonalleida.com/,
Marzo,15/03,Cursa De Sant Valentí,Les Cabanyes,3k,Asfalto,No,Sí,No,https://cursalescabanyes.wordpress.com/,
Marzo,15/03,Cursa Vilanova Del Camí,Vilanova del Camí,10k,Mixta,No,Sí,No,https://www.vilanovadelcami.cat/actualitat/agenda/5143-cursa-i-caminada-popular-de-vilanova-del-cami.html,
Marzo,15/03,Cursa Dones Viladecans,Viladecans,5k,Asfalto,No,Sí,No,https://www.viladecans.cat/ca/cursadona26,
Marzo,15/03,Cursa Dones Barberà Del Vallès,Barberà del Vallès,5k,Asfalto,No,Sí,No,"https://www.bdv.cat/cursa-del-dia-internacional-de-les-dones#:~:text=La%20cursa%2C%20que%20es%20dur%C3%A0,quil%C3%B2metres%20pels%20carrers%20de%20Barber%C3%A0.",
Marzo,21/03,Cursa Científica Sant Pau,Barcelona,10 i 5 voltes,Asfalto,No,Sí,No,https://www.santpau.cat/,
Marzo,21/03,Cursa Dones Santa Margalida i els Monjos,Santa Margalida i els Monjos,4k,Mixta,No,Sí,No,https://www.santamargaridaielsmonjos.cat/formularis/cursa-caminada-dones-2026,
Marzo,22/03,Mou-Te Per Epilèpsia,Tarragona,5k,Asfalto,No,Sí,No,https://www.rockthesport.com/ca/esdeveniment/v-mou-te-per-lepilepsia-2026,
Marzo,22/03,Cursa Entrepobles Gironès,Llagostera,10k,Mixta,No,Sí,No,https://www.entrepobles.run/cursa-girones-llagostera/,
Marzo,22/03,Mitja De Rams,Vic,21k y 5k,Asfalto,Sí,Sí,Sí,https://www.lamitjaderams.cat/,
Marzo,22/03,Cursa Caldes D'Estrach 3 Viles,Caldes d'Estrach,10k,Asfalto,No,Sí,Sí,https://gesport.cat/cursa-caldes-3-viles-10k/,
Marzo,22/03,Cursa / Marxa Hospital Trueta,Girona,10k y 5k,Mixta,No,Sí,No,https://colabora.hospitaltrueta.cat/cursamarxa70anys,
Marzo,22/03,Cursa Sed Lleida,Lleida,5k,Asfalto,No,Sí,No,https://sedcatalunya.cat/cursased/,
Marzo,22/03,Cursa Del Sucre,Menàrguens,10k y 5k,Mixta,No,Sí,No,https://lacursadelsucre.web.app/,
Marzo,22/03,La Pera Run,Albatàrrec,10k,Mixta,No,Sí,No,https://albatarrec.cat/la-pera-run-dalbatarrec/,
Marzo,22/03,Cursa Dona Manresa,Manresa,5k,Mixta,No,Sí,No,https://www.cursadonamanresa.com/,
Marzo,22/03,La Cursa Del Pont,Deltebre,10k y 5k,Asfalto,Sí,Sí,No,https://www.runningseries.net/calendari/,
Marzo,22/03,Cursa Dona Pineda De Mar,Pineda de Mar,5k,Asfalto,No,Sí,No,https://gesport.cat/4a-cursa-de-la-dona-pineda-de-mar-5k/,
Marzo,28/03,Correpoble,Santa Cristina d'Aro,10k,Mixta,No,Sí,No,https://www.correpoble.cat/,
Marzo,29/03,Cursa Martorell,Martorell,10k y 5k,Asfalto,Sí,Sí,Sí,https://martorellatletic.cat/25a-cursa-martorell/,
Marzo,29/03,Cursa Del Llangardaix,La Portella,10k y 5k,Mixta,No,Sí,No,https://xtsportevents.com/reglament-ca-cursa-del-llangardaix/,
Abril,06/04,CA CO per el T.E.A.,Piera,5k,Asfalto,No,Sí,No,https://web.rockthesport.com/es/event/caco-per-el-tea,
Abril,06/04,Cursa Sant Josep Figueres,Figueres,10k y 5k,Asfalto,No,Sí,No,https://curses.cat/,
Abril,11/04,Salomon Run,Barcelona,10k y 5k,Mixta,No,Sí,Sí,https://salomonrunbarcelona.com/es/home-esp/,
Abril,11/04,10K Salou,Salou,10k y 5k,Asfalto,No,Sí,Sí,https://10ksalou.com/es,
Abril,11/04,Cursa del Sahara,Centelles,10k y 5k,Asfalto,No,Sí,No,https://www.instagram.com/cursadelsahara/,
Abril,12/04,Cursa Mossos D'Esquadra Badalona,Badalona,10k y 5k,Asfalto,No,Sí,Sí,https://www.cursamossos.cat/,
Abril,12/04,Cursa Bombers Lleida,Lleida,10k,Asfalto,No,Sí,No,https://cursesinfantilsbomberslleida.com/,
Abril,12/04,Cursa Fem Salut,Reus,5k,Asfalto,No,Sí,No,https://femsalutsantjoan.cat/,
Abril,12/04,Mitja Montornès,Montornès,21k y 6k,Asfalto,Sí,Sí,Sí,https://mitjamontornes.com/,
Abril,12/04,Mitja Pla De L'Estany,Banyoles,21k y 6k,Asfalto,Sí,Sí,Sí,https://cnbanyoles.cat/competicions/mitja-marato-del-pla-de-lestany/,
Abril,12/04,Cursa Dona Canyelles,Canyelles,8k y 4k,Mixta,No,Sí,No,https://www.weevens.com/esdeveniments/3a-cursa-de-la-dona-de-canyelles/,
Abril,17/04,Cursa De La Sanitat,Badalona,"10k y 5,5k",Mixta,No,Sí,Sí,https://www.hospitalgermanstrias.cat/ca/web/guest/31-cursa-atletica-de-la-sanitat-catalana,
Abril,18/04,Cursa De L'Horta,Lleida,10k y 5k,Mixta,No,Sí,No,https://labandadelhorta.com/esdeveniments/la-cursa-de-lhorta/,
Abril,19/04,Mitja Miami Platja,Montroig,"21k, 10k y 5k",Asfalto,No,Sí,No,https://webtretzesports.wixsite.com/mitjamiamiplatja,
Abril,19/04,Cursa Lo Caspolino,Móra la Nova,10k y 5k,Asfalto,Sí,Sí,No,https://www.runningseries.net/calendari/,
Abril,19/04,Cursa De La Nòria,Torrelameu,10k y 5k,Mixta,No,Sí,No,https://cursadelanoria.weebly.com/,
Abril,19/04,10 Km De Girona,Girona,10k y 5k,Asfalto,No,Sí,No,https://esportsparra.com/,
Abril,19/04,Marató Empúries,Empúries,"42k, 21k, 10k y 5k",Asfalto,Sí,Sí,No,https://esportslescala.cat/marato-dempuries/,
Abril,19/04,Cursa Popular Vilanova i la Geltrú,Vilanova i la Geltrú,5k,Asfalto,No,Sí,No,https://www.vilanova.cat/esports/la_cursa_popular,
Abril,19/04,Cursa i Caminada per la Discapacitat,Montcada i Reixac,"2,5k",Asfalto,No,Sí,No,https://nonstoprun.com/cursadiscapacitat/,
Abril,25/04,Castarun,Sant Joan Despí,10k y 5k,Terra,No,Sí,No,https://www.castarun.com/,
Abril,25/04,Cursa Medijocs,Sant Cugat,7k,Asfalto,No,Sí,Sí,https://medijocs.comb.cat/cursaatletica.htm,
Abril,25/04,Cursa Interempreses Can Gavarra,Polinyà,"5,6k",Mixta,No,Sí,Sí,https://cangavarra.cat/,
Abril,26/04,Marató Del Mediterrani,Castelldefels,"21k, 10k y 5k",Asfalto,Sí,Sí,Sí,https://www.zonavipevents.com/marato-del-mediterrani/,
Abril,26/04,Marató Per Equips,Cornellà,42k y 7k,Mixta,No,Sí,Sí,http://www.corresolidaris.org/marato-per-equips/,
Abril,26/04,Carrera Ponle Freno,Badalona,10k y 5k,Asfalto,No,Sí,Sí,https://www.atresmedia.com/ponle-freno/carreras/2026/badalona/,
Abril,26/04,Cursa De Balafià,Lleida,10k y 5k,Asfalto,No,Sí,No,https://balafia.org/cursa-balafia-2025/,
Abril,26/04,Cursa Montilivi,Girona,10k y 5k,Mixta,No,Sí,No,https://www.cursamontilivi.cat/,
